abr,fullname
bio1,Annual Mean Temperature
bio2,Mean Diurnal Range (Mean of monthly (max temp - min temp))
bio3,Isothermality (BIO2/BIO7) (* 100)
bio4,Temperature Seasonality (standard deviation *100)
bio5,Max Temperature of Warmest Month
bio6,Min Temperature of Coldest Month
bio7,Temperature Annual Range (BIO5-BIO6)
bio8,Mean Temperature of Wettest Quarter
bio9,Mean Temperature of Driest Quarter
bio10,Mean Temperature of Warmest Quarter
bio11,Mean Temperature of Coldest Quarter
bio12,Annual Precipitation
bio13,Precipitation of Wettest Month
bio14,Precipitation of Driest Month
bio15,Precipitation Seasonality (Coefficient of Variation)
bio16,Precipitation of Wettest Quarter
bio17,Precipitation of Driest Quarter
bio18,Precipitation of Warmest Quarter
bio19,Precipitation of Coldest Quarter
West_Alt,alt
MAT,mean annual temperature (°C)
MWMT,mean temperature of the warmest month (°C)
MCMT,mean temperature of the coldest month (°C)
TD,difference between MCMT and MWMT, as a measure of continentality (°C)
MAP,mean annual precipitation (mm)
MSP,mean summer (May to Sep) precipitation (mm)
AHM,annual heat moisture index, calculated as (MAT+10)/(MAP/1000)
SHM,summer heat moisture index, calculated as MWMT/(MSP/1000)
DD_0,degree-days below 0°C (chilling degree days)
DD5,degree-days above 5°C (growing degree days)
DD_18,degree-days below 18°C
DD18,degree-days above 18°C
NFFD,the number of frost-free days
bFFP,the julian date on which the frost-free period begins
eFFP,the julian date on which the frost-free period ends
FFP,frost-free period
PAS,precipitation as snow (mm)
EMT,extreme minimum temperature over 30 years
EXT,extreme maximum temperature over 30 years
Eref,Hargreave's reference evaporation
CMD,Hargreave's climatic moisture index
MAR,mean annual solar radiation (MJ m-2 d-1) (excludes areas south of US)
RH,mean annual relative humidity (%)
Tave_wt,winter (Dec to Feb) mean temperature (°C)
Tave_sm,summer (Jun to Aug) mean temperature (°C)
PPT_wt,winter (Dec to Feb) precipitation (mm)
PPT_sm,summer (Jun to Aug) precipitation (mm)
PPTseasonality,Precipitation Seasonality
AEVPET,Actual / Potential Evapotranspiration
d_MAT,mean annual temperature (°C)
d_MWMT,mean temperature of the warmest month (°C)
d_MCMT,mean temperature of the coldest month (°C)
d_TD,difference between MCMT and MWMT, as a measure of continentality (°C)
d_MAP,mean annual precipitation (mm)
d_MSP,mean summer (May to Sep) precipitation (mm)
d_AHM,annual heat moisture index, calculated as (MAT+10)/(MAP/1000)
d_SHM,summer heat moisture index, calculated as MWMT/(MSP/1000)
d_DD_0,degree-days below 0°C (chilling degree days)
d_DD5,degree-days above 5°C (growing degree days)
d_DD_18,degree-days below 18°C
d_DD18,degree-days above 18°C
d_NFFD,the number of frost-free days
d_bFFP,the julian date on which the frost-free period begins
d_eFFP,the julian date on which the frost-free period ends
d_FFP,frost-free period
d_PAS,precipitation as snow (mm)
d_EMT,extreme minimum temperature over 30 years
d_EXT,extreme maximum temperature over 30 years
d_Eref,Hargreave's reference evaporation
d_CMD,Hargreave's climatic moisture index
d_MAR,mean annual solar radiation (MJ m-2 d-1) (excludes areas south of US)
d_RH,mean annual relative humidity (%)
d_Tave_wt,winter (Dec to Feb) mean temperature (°C)
d_Tave_sm,summer (Jun to Aug) mean temperature (°C)
d_PPT_wt,winter (Dec to Feb) precipitation (mm)
d_PPT_sm,summer (Jun to Aug) precipitation (mm)
d_PPTseasonality,Precipitation Seasonality
Hargreave's reference evaporation,Potential Evapotranspiration
degree-days above 5°C (growing degree days),Growing Degree Days
mean annual precipitation (mm),Mean Annual Precipitation
mean annual temperature (°C),Mean Annual Temperature
mean temperature of the coldest month (°C),Mean Temperature of Coldest Month
mean temperature of the warmest month (°C),Mean Temperature of Warmest Month
summer (Jun to Aug) precipitation (mm),Mean Summer Precipitation
winter (Dec to Feb) precipitation (mm),Mean Winter Precipitation
